ACCURL,ACCTEXT,ACCTEXTW,ACCTYPE
https://www.basrat.org/home/wheretostudy,Recognised by the British Association of Sport Rehabilitators and Trainers (BASRaT) for the purpose of bestowing the title of Graduate Sport Rehabilitator (GSR) and entering onto the Professional Standards Authority (PSA) in Health and Social Care Accredited Voluntary Register.,Cydnabyddir gan y Gymdeithas Brydeinig Rehabilitators Chwaraeon a Hyfforddwyr (BASRaT) at y diben o anrhegu y teitl Graddedigion Chwaraeon adsefydlydd (GSR) a mynd i mewn i'r Awdurdod Safonau Proffesiynol (PSA) mewn Iechyd a Gofal Cymdeithasol Cofrestr Wirfoddol Achrededig.,14201
http://www.bda.uk.com/careers/courses.html,Accredited by the British Dietetic Association (BDA) as delivering the approved pre-registration curriculum framework. Provides eligibility to apply for HCPC registration as a dietitian.,Achrededig gan Gymdeithas Dieteg Prydain (BDA) at bwrpas cymhwyso fel dietegydd.,16501
http://www.bdadyslexia.org.uk/quality-mark-and-accreditation.html,Accredited by the British Dyslexia Association (BDA).,Achrededig gan Gymdeithas Dyslecsia Prydain (BDA),01901
http://www.bipp.com/Default.aspx?tabid=95,Accredited by the British Institute of Professional Photography (BIPP).,Achrededig gan Sefydliad Ffotograffiaeth Broffesiynol Prydain (BIPP).,14301
www.bjtc.org.uk/,Accredited by the Broadcasting Journalism Training Council (BJTC).,Achrededig gan Gyngor Hyfforddi Newyddiaduriaeth Ddarlledu (BJTC),02101
http://www.ccwales.org.uk/social-work-degree/,Approved by the Care Council for Wales for the purpose of qualifying as a social worker.,Cymeradwywyd gan Gyngor Gofal Cymru at bwrpas cymhwyso fel gweithiwr cymdeithasol.,02201
http://www.cim.co.uk/learning/qualifications/graduate-gateway/,Accredited by the Chartered Institute of Marketing (CIM) for the purpose of gaining CIM qualifications through the Graduate Gateway.,Wedi'i achredu gan Sefydliad Siartredig Marchnata (CIM) at y diben o ennill cymwysterau CIM drwy Borth i Raddedigion.,03501
https://www.cipfa.org/qualifications/exemptions,Accredited by the Chartered Institute of Public Finance and Accountancy (CIPFA) for the purpose of exemption from some professional examinations.,Achrededig gan Sefydliad Siartredig Cyllid Cyhoeddus a Chyfrifyddiaeth (CIPFA) at bwrpas eithrio rhag rhai arholiadau proffesiynol. ,03701
http://www.cipr.co.uk/content/training-qualifications/cipr-recognised-courses/course-lists/current-cipr-recognised-courses,Recognised by the Chartered Institute of Public Relations (CIPR).,Achrededig gan Sefydliad Siartredig Cysylltiadau Cyhoeddus (CIPR),03801
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institute of Building Services Engineers (CIBSE) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as a Chartered Engineer.,Hachredu gan y Sefydliad Siartredig Peirianwyr Gwasanaethau Adeiladu (CIBSE) ar ran y Cyngor Peirianneg at ddibenion llawn cwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,04001
