AccreditingBodyName,AccreditionType,HEP,KisCourseTitle,KiscourseID
American Veterinary Medical Association (AVMA),Accredited by the American Veterinary Medical Association (AVMA).,(10007779) The Royal Veterinary College,BVetMed (Hons) ,UBVETMD
American Veterinary Medical Association (AVMA),Accredited by the American Veterinary Medical Association (AVMA).,(10007779) The Royal Veterinary College,BVetMed (Hons) Veterinary Gateway Programme,UBVETMG
American Veterinary Medical Association (AVMA),Accredited by the American Veterinary Medical Association (AVMA).,(10007779) The Royal Veterinary College,BVetMed (Hons) with Intercalated Year,UBVETMI
American Veterinary Medical Association (AVMA),Accredited by the American Veterinary Medical Association (AVMA).,(10007790) The University of Edinburgh,BVMS (Hons) Veterinary Medicine,UTCLIVMBVMS
American Veterinary Medical Association (AVMA),Accredited by the American Veterinary Medical Association (AVMA).,(10007794) The University of Glasgow,BVMS Veterinary Medicine and Surgery,D100-2104
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10000291) Anglia Ruskin University,BA (Hons) Architecture,K00143
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10000886) The University of Brighton,BA (Hons) Architecture,H1EA008MUU
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10001726) Coventry University,BSc (Hons) Architecture,15
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10001883) De Montfort University,BA (Hons) Architecture,K100DM
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10001883) De Montfort University,BA (Hons) Architecture,K100DM
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10002681) Glasgow School of Art,BArch (Hons) Architecture,ARCHBFT
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10002681) Glasgow School of Art,BArch Architecture,ARCHBPT
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10003678) Kingston University,BA (Hons) Architecture,BAHUFARC1ARC01
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10003861) Leeds Beckett University,BA (Hons) Architecture,ARCHA
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10003861) Leeds Beckett University,BA (Hons) Architecture,ARCHA
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10003957) Liverpool John Moores University,BA (Hons) Architecture,3000000339
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10004048) London Metropolitan University,BA (Hons) Architecture,UDARCHIT
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10004048) London Metropolitan University,BA (Hons) Architecture,UDARCHIT
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10004078) London South Bank University,BA (Hons) Architecture,101A
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10004078) London South Bank University,BA (Hons) Architecture,101A
