PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,CONTPOP,CONTAGG,CONTSBJ,UCONT,UDORMANT,UGAINED,ULEFT,ULOWER
10000047,10001143,PSSFDOPTDIS,1,40,13,008,75,10,5,0,5
10000055,10000055,AB12,1,15,14,,75,15,0,15,0
10000055,10000055,AB18,1,20,24,,95,5,0,0,0
10000055,10000055,AB20,1,20,14,,100,0,0,0,0
10000055,10000055,AB21,1,10,14,,100,0,0,0,0
10000055,10000055,AB26,1,15,14,,20,5,70,0,0
10000055,10000055,AB28,1,15,24,,85,5,0,5,0
10000055,10000055,AB29,1,10,24,,90,0,0,10,0
10000055,10000055,AB33,1,25,14,,80,0,5,15,0
10000055,10000055,RHAN100P,1,15,11,9,95,5,0,0,0
10000093,10000093,001042A,1,25,13,011,85,0,0,15,0
10000093,10000093,001746A,1,15,13,005,75,0,0,15,10
10000093,10000093,001877A,1,25,13,011,85,0,0,15,0
10000093,10000093,001878A,1,25,13,011,85,0,0,15,0
10000093,10000093,002640A,1,30,13,018,80,0,0,20,0
10000093,10000093,002641A,1,15,13,097,95,0,0,0,5
10000093,10000093,002642A,1,10,13,011,45,0,5,30,20
10000163,10000824,MCCF-B320,1,105,13,006,91,2,0,6,2
10000275,10000275,AB2819,1,15,23,097,85,0,0,15,0
10000275,10000275,AB4819,1,15,23,100,100,0,0,0,0
10000275,10000275,AB5319,1,20,13,098,85,0,0,15,0
10000275,10000275,AB5819,1,40,11,H,80,0,10,15,0
10000275,10000275,AB7719,1,20,13,098,85,0,0,15,0
10000291,10000291,K00001,1,210,14,,87,2,0,3,8
10000291,10000291,K00003,2,30,12,25,65,15,5,5,10
10000291,10000291,K00004,1,35,14,,75,0,5,5,15
10000291,10000291,K00005,1,35,14,,80,0,10,5,5
10000291,10000291,K00006,1,40,14,,80,5,0,5,10
10000291,10000291,K00007,1,25,14,,65,15,0,10,10
10000291,10000291,K00008,1,15,14,,70,0,0,20,10
10000291,10000291,K00009,1,25,14,,65,5,0,15,20
10000291,10000291,K00010,1,35,14,,80,5,0,15,5
10000291,10000291,K00011,1,45,14,,80,5,0,5,5
10000291,10000291,K00012,1,20,14,,85,0,5,0,10
10000291,10000291,K00014,1,35,14,,55,10,10,5,20
10000291,10000291,K00015,1,30,14,,75,20,5,0,5
10000291,10000291,K00016,1,25,14,,85,5,0,5,10
10000291,10000291,K00018,1,60,14,,77,10,2,5,6
10000291,10000291,K00019,1,20,24,,65,0,35,0,0
10000291,10000291,K00020,1,20,14,,85,5,0,5,5
10000291,10000291,K00023,1,15,14,,65,20,0,5,15
10000291,10000291,K00024,1,25,14,,90,10,0,0,0
10000291,10000291,K00025,1,15,14,,95,0,0,0,5
10000291,10000291,K00026,1,25,14,,90,0,0,5,5
10000291,10000291,K00027,1,40,14,,70,5,5,15,10
10000291,10000291,K00028,1,40,14,,90,10,0,5,0
10000291,10000291,K00029,1,20,14,,75,5,0,10,10
10000291,10000291,K00030,1,20,14,,80,0,0,5,15
10000291,10000291,K00031,1,10,14,,90,0,0,10,0
10000291,10000291,K00032,1,10,14,,80,20,0,0,0
10000291,10000291,K00033,1,20,14,,55,0,30,5,10
10000291,10000291,K00034,1,25,14,,85,0,5,15,0
10000291,10000291,K00035,1,150,12,04,89,4,0,2,5
10000291,10000291,K00037,1,15,24,,65,5,0,20,15
10000291,10000291,K00039,1,20,14,,80,0,0,10,10
10000291,10000291,K00040,1,30,14,,85,5,0,5,5
10000291,10000291,K00041,1,75,14,,82,1,0,13,4
10000291,10000291,K00042,1,20,14,,100,0,0,0,0
10000291,10000291,K00044,1,10,14,,65,10,0,10,15
10000291,10000291,K00045,1,75,14,,84,1,0,5,9
10000291,10000291,K00048,1,15,14,,85,0,0,5,5
