PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,LOCID
10000047,10001143,PSSFDOPTDIS,1,A1
10000055,10000055,AB12,1,AB
10000055,10000055,AB18,1,CL
10000055,10000055,AB20,1,CL
10000055,10000055,AB21,1,AB
10000055,10000055,AB26,1,AB
10000055,10000055,AB27,1,AB
10000055,10000055,AB28,1,AB
10000055,10000055,AB29,1,AB
10000055,10000055,AB33,1,AB
10000055,10000055,PHWN100P,1,WI
10000055,10000055,RHAN100P,1,AB
10000055,10000055,SHAM100P,1,AB
10000093,10000093,001042A,1,H5
10000093,10000093,001043A,1,H5
10000093,10000093,001746A,1,H5
10000093,10000093,001877A,1,H5
10000093,10000093,001878A,1,H5
10000093,10000093,002640A,1,H5
10000093,10000093,002641A,1,H5
10000093,10000093,002642A,1,H5
10000163,10000824,MCCF-B320,1,AE
10000256,10007155,C2200P,2,AL
10000275,10000275,AB2819,1,AM
10000275,10000275,AB4819,1,AM
10000275,10000275,AB4919,1,AM
10000275,10000275,AB5219,1,AM
10000275,10000275,AB5319,1,AM
10000275,10000275,AB5819,1,AM
10000275,10000275,AB5919,1,AM
10000275,10000275,AB7719,1,AM
10000275,10000275,H70211,2,HW
10000275,10000275,HB0419,1,AM
10000275,10000275,HB0519,1,HW
10000275,10000275,HB6019,1,HW
10000291,10000291,K00001,1,AA
10000291,10000291,K00001,1,CC
10000291,10000291,K00004,1,CC
10000291,10000291,K00005,1,CC
10000291,10000291,K00006,1,CC
10000291,10000291,K00007,1,CC
10000291,10000291,K00008,1,CC
10000291,10000291,K00009,1,CC
10000291,10000291,K00010,1,CC
10000291,10000291,K00011,1,CC
10000291,10000291,K00012,1,CC
10000291,10000291,K00014,1,CC
10000291,10000291,K00015,1,CC
10000291,10000291,K00016,1,CC
10000291,10000291,K00018,1,CC
10000291,10000291,K00019,1,CC
10000291,10000291,K00020,1,CC
10000291,10000291,K00023,1,CC
10000291,10000291,K00024,1,CC
10000291,10000291,K00025,1,CC
10000291,10000291,K00026,1,CC
10000291,10000291,K00027,1,CC
10000291,10000291,K00028,1,CC
10000291,10000291,K00029,1,CC
10000291,10000291,K00030,1,CC
10000291,10000291,K00031,1,CC
10000291,10000291,K00032,1,CC
10000291,10000291,K00033,1,CC
10000291,10000291,K00034,1,CC
10000291,10000291,K00035,1,SS
10000291,10000291,K00037,1,99
10000291,10000291,K00039,1,99
10000291,10000291,K00040,1,CC
10000291,10000291,K00041,1,CC
10000291,10000291,K00042,1,CC
10000291,10000291,K00044,1,LL
10000291,10000291,K00045,1,CC
10000291,10000291,K00048,1,CC
10000291,10000291,K00050,1,CC
10000291,10000291,K00052,1,GG
10000291,10000291,K00054,1,GG
10000291,10000291,K00055,1,GG
10000291,10000291,K00056,1,CC
10000291,10000291,K00058,2,AA
10000291,10000291,K00065,1,AA
10000291,10000291,K00066,1,CC
10000291,10000291,K00070,1,AA
10000291,10000291,K00075,1,AA
10000291,10000291,K00075,1,CC
10000291,10000291,K00076,1,AA
10000291,10000291,K00079,1,AA
10000291,10000291,K00080,1,AA
10000291,10000291,K00082,1,55
10000291,10000291,K00082,1,AA
10000291,10000291,K00082,1,CC
10000291,10000291,K00083,1,GG
10000291,10000291,K00085,1,GG
10000291,10000291,K00086,1,AA
10000291,10000291,K00087,1,AA
10000291,10000291,K00090,2,AA
10000291,10000291,K00091,1,AA
10000291,10000291,K00092,1,AA
10000291,10000291,K00095,1,AA
10000291,10000291,K00096,1,GG
10000291,10000291,K00098,1,CC
10000291,10000291,K00099,1,AA
10000291,10000291,K00100,1,AA
10000291,10000291,K00101,1,CC
10000291,10000291,K00102,1,AA
10000291,10000291,K00103,1,AA
10000291,10000291,K00104,1,CC
10000291,10000291,K00105,1,AA
10000291,10000291,K00106,1,AA
10000291,10000291,K00107,1,CC
10000291,10000291,K00108,1,AA
10000291,10000291,K00108,1,CC
10000291,10000291,K00109,1,AA
10000291,10000291,K00109,1,CC
10000291,10000291,K00110,1,UU
10000291,10000291,K00111,1,AA
10000291,10000291,K00114,1,CC
10000291,10000291,K00115,1,AA
10000291,10000291,K00116,1,CC
10000291,10000291,K00117,1,AA
10000291,10000291,K00118,1,AA
10000291,10000291,K00119,1,AA
10000291,10000291,K00119,1,CC
10000291,10000291,K00120,1,AA
10000291,10000291,K00121,1,CC
10000291,10000291,K00122,1,AA
10000291,10000291,K00123,1,CC
10000291,10000291,K00125,1,CC
10000291,10000291,K00126,1,AA
10000291,10000291,K00126,1,CC
10000291,10000291,K00127,1,AA
10000291,10000291,K00128,1,CC
10000291,10000291,K00129,1,AA
10000291,10000291,K00130,1,AA
10000291,10000291,K00131,1,AA
10000291,10000291,K00132,1,CC
10000291,10000291,K00133,1,CC
10000291,10000291,K00134,1,AA
10000291,10000291,K00140,1,AA
10000291,10000291,K00141,1,AA
10000291,10000291,K00142,1,AA
10000291,10000291,K00143,1,AA
10000291,10000291,K00144,1,AA
10000291,10000291,K00145,1,AA
10000291,10000291,K00146,1,AA
10000291,10000291,K00147,1,AA
10000291,10000291,K00149,1,99
10000291,10000291,K00152,1,CC
10000291,10000291,K00153,1,CC
10000291,10000291,K00154,1,99
10000291,10000291,K00155,2,99
10000291,10000291,K00156,1,99
10000291,10000291,K00157,1,CC
10000291,10000291,K00158,1,CC
10000291,10000291,K00159,1,99
10000291,10000291,K00160,1,CC
10000291,10000291,K00161,1,CC
10000291,10000291,K00162,1,AA
10000291,10000291,K00163,1,CC
10000291,10000291,K00164,1,LL
10000291,10000291,K00166,1,99
10000291,10000291,K00167,1,LL
10000291,10000291,K00169,1,AA
10000291,10000291,K00169,1,CC
10000291,10000291,K00170,1,CC
10000291,10000291,K00173,1,AA
10000291,10000291,K00174,1,99
10000291,10000291,K00176,1,CC
10000291,10000291,K00177,1,AA
10000291,10000291,K00179,1,CC
10000291,10000291,K00182,1,GG
10000291,10000291,K00185,1,99
10000291,10000291,K00186,2,AA
10000291,10000291,K00187,2,SS
10000291,10000291,K00188,1,CC
10000291,10000291,K00189,1,CC
10000291,10000291,K00190,1,CC
10000291,10000291,K00191,1,CC
10000291,10000291,K00192,1,CC
10000291,10000291,K00193,1,CC
10000291,10000291,K00194,1,CC
10000291,10000291,K00195,1,CC
10000291,10000291,K00196,1,CC
10000291,10000291,K00199,1,SS
10000291,10000291,K00200,1,CC
10000291,10000291,K00201,1,CC
10000291,10000291,K00202,1,CC
10000291,10000291,K00242,1,99
10000291,10000291,K00244,1,99
10000291,10000291,K00246,1,CC
10000291,10000291,K00247,1,LL
10000291,10000291,K00248,1,AA
10000291,10000291,K00249,1,CC
10000291,10000291,K00250,1,99
10000291,10000291,K00256,1,LL
10000291,10000291,K00258,1,99
10000291,10000291,K00259,1,99
10000291,10000291,K00260,1,99
10000291,10000291,K00265,1,LL
10000291,10000291,K00266,1,LL
10000291,10000291,K00267,1,LL
10000291,10000291,K00268,1,LL
10000291,10000291,K00277,2,AA
10000291,10000291,K00278,2,AA
10000291,10000291,K00283,2,AA
10000291,10000291,K00286,2,99
10000291,10000291,K00289,2,AA
10000291,10000291,K00290,1,CC
10000291,10000291,K00291,1,AA
10000291,10000291,K00292,1,AA
10000291,10000291,K00293,1,99
10000291,10000291,K00295,1,AA
10000291,10000291,K00297,1,AA
10000291,10000291,K00298,1,CC
10000291,10000291,K00299,1,CC
10000291,10000291,K00300,1,AA
10000291,10000291,K00300,1,CC
10000291,10000291,K00306,1,CC
10000291,10000291,K00308,1,AA
10000291,10000291,K00308,1,CC
10000291,10000291,K00309,1,CC
10000291,10000291,K00310,1,99
10000291,10000291,K00311,2,AA
10000291,10000291,K00312,1,CC
10000291,10000291,K00314,1,CC
10000291,10000291,K00316,1,AA
10000291,10000291,K00320,1,CC
10000291,10000291,K00322,2,AA
10000291,10000291,K00323,1,AA
10000291,10000291,K00324,1,AA
10000291,10000291,K00326,1,AA
10000291,10000291,K00327,1,AA
10000291,10000291,K00328,1,99
10000291,10000291,K00329,1,AA
10000291,10000291,K00330,1,AA
10000291,10000291,K00331,1,CC
10000291,10000291,K00333,2,AA
10000291,10000291,K00334,2,55
10000291,10000291,K00335,2,AA
10000291,10000291,K00338,2,RR
10000291,10000291,K00340,2,99
10000291,10000291,K00341,2,99
10000291,10000291,K00342,2,CC
10000291,10000291,K00345,2,AA
10000291,10000291,K00346,2,AA
10000291,10000291,K00347,2,CC
10000291,10000291,K00352,2,99
10000291,10000291,K00353,2,99
10000291,10000291,K00354,2,99
10000291,10000291,K00356,2,99
10000291,10000291,K00357,2,CC
10000291,10000291,K00358,2,AA
10000291,10000291,K00359,2,CC
10000291,10000291,K00360,2,CC
10000291,10000291,K00361,2,99
10000291,10000291,K00362,2,CC
10000291,10000291,K00363,2,99
10000291,10000291,K00364,2,99
10000291,10000291,K00442,1,99
10000385,10000385,BAACT,1,AB
10000385,10000385,BAAEP,1,AB
10000385,10000385,BAANP,1,AB
10000385,10000385,BAARC,1,AB
10000385,10000385,BACPH,1,AB
10000385,10000385,BACRW,1,AB
10000385,10000385,BACSS,1,AB
10000385,10000385,BADAN,1,AB
10000385,10000385,BAFAR,1,AB
10000385,10000385,BAFCO,1,AB
10000385,10000385,BAFLP,1,AB
10000385,10000385,BAFSC,1,AB
10000385,10000385,BAGDS,1,AB
10000385,10000385,BAIAD,1,AB
10000385,10000385,BAILL,1,AB
10000385,10000385,BAMDM,1,AB
10000385,10000385,BAMMP,1,AB
10000385,10000385,BAPHO,1,AB
10000385,10000385,BATXT,1,AB
10000385,10000385,BAVCO,1,AB
10000385,10000385,BAVFX,1,AB
10000409,10000409,BA_ED_HE_17,2,01
10000409,10000409,FD-EC-HE-17,2,01
10000409,10000409,FD_EC_HE_17,2,01
10000409,10000409,FH-HS-HE-17,1,01
10000409,10000409,HN_M_PHE_17,1,01
10000415,10000415,BSA3F,1,YC
10000415,10000415,DFACCF,1,YC
10000415,10000415,DFALMF,1,YC
10000415,10000415,DFALMP,2,YC
10000415,10000415,DFAMX,1,GC
10000415,10000415,DFAMXF,1,YC
10000415,10000415,DFAMXP,2,YC
10000415,10000415,DFARBF,1,YC
10000415,10000415,DFCFBF,1,YC
10000415,10000415,DFCMXF,1,YC
10000415,10000415,DFCMXP,2,YC
10000415,10000415,DFELEF,1,YC
