PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,DEGPOP,DEGAGG,DEGSBJ,UFIRST,UUPPER,ULOWER,UOTHER,UORDINARY,UDISTINCTION,UMERIT,UPASS,UNA
10000055,10000055,AB26,1,20,23,061,40,45,10,0,5,0,0,0,0
10000093,10000093,002642A,1,15,13,011,30,30,25,0,15,0,0,0,0
10000163,10000824,MCCF-B320,1,190,13,006,24,17,10,0,0,13,31,4,0
10000291,10000291,K00001,1,135,14,,16,46,32,6,0,0,0,0,0
10000291,10000291,K00003,2,30,12,25,25,25,40,15,0,0,0,0,0
10000291,10000291,K00004,1,25,14,,40,40,15,10,0,0,0,0,0
10000291,10000291,K00005,1,25,14,,10,50,30,10,0,0,0,0,0
10000291,10000291,K00006,1,20,14,,25,50,15,10,0,0,0,0,0
10000291,10000291,K00007,1,15,14,,15,50,25,15,0,0,0,0,0
10000291,10000291,K00008,1,15,14,,25,25,30,20,0,0,0,0,0
10000291,10000291,K00009,1,90,13,096,21,42,24,13,0,0,0,0,0
10000291,10000291,K00010,1,30,14,,30,50,15,5,0,0,0,0,0
10000291,10000291,K00011,1,25,14,,30,30,15,20,0,0,0,0,0
10000291,10000291,K00012,1,20,24,,25,35,20,20,0,0,0,0,0
10000291,10000291,K00014,1,15,14,,25,25,45,5,0,0,0,0,0
10000291,10000291,K00015,1,10,14,,10,50,35,10,0,0,0,0,0
10000291,10000291,K00016,1,15,24,,5,70,25,0,0,0,0,0,0
10000291,10000291,K00018,1,40,14,,15,50,35,5,0,0,0,0,0
10000291,10000291,K00019,1,15,24,,15,60,15,15,0,0,0,0,0
10000291,10000291,K00020,1,30,14,,10,55,30,5,0,0,0,0,0
10000291,10000291,K00023,1,25,24,,40,45,15,0,0,0,0,0,0
10000291,10000291,K00024,1,20,14,,15,55,25,5,0,0,0,0,0
10000291,10000291,K00025,1,20,24,,20,45,30,10,0,0,0,0,0
10000291,10000291,K00026,1,15,14,,15,75,10,0,0,0,0,0,0
10000291,10000291,K00027,1,15,14,,0,60,30,10,0,0,0,0,0
10000291,10000291,K00028,1,25,14,,15,70,10,5,0,0,0,0,0
10000291,10000291,K00029,1,25,14,,10,70,20,0,0,0,0,0,0
10000291,10000291,K00030,1,20,24,,5,40,50,5,0,0,0,0,0
10000291,10000291,K00031,1,20,24,,10,55,30,5,0,0,0,0,0
10000291,10000291,K00032,1,10,14,,10,60,30,0,0,0,0,0,0
10000291,10000291,K00033,1,20,14,,15,45,30,10,0,0,0,0,0
10000291,10000291,K00035,1,115,12,04,22,41,33,3,0,0,0,0,0
10000291,10000291,K00037,1,15,24,,35,40,25,0,0,0,0,0,0
10000291,10000291,K00039,1,20,14,,20,50,30,0,0,0,0,0,0
10000291,10000291,K00040,1,25,14,,25,50,25,0,0,0,0,0,0
