PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESP_RATE,EMPAGG,EMPSBJ,WORKSTUDY,STUDY,ASSUNEMP,BOTH,NOAVAIL,WORK
10000047,10001143,PSSFDOPTDIS,1,20,70,13,008,100,30,0,60,0,10
10000055,10000055,AB12,1,10,83,23,035,90,40,10,0,0,50
10000055,10000055,AB18,1,15,74,12,09,75,55,20,0,5,25
10000055,10000055,AB20,1,15,88,13,021,70,65,20,0,5,5
10000055,10000055,AB21,1,15,93,13,061,100,55,0,45,0,0
10000055,10000055,AB26,1,10,71,23,061,90,0,10,0,0,90
10000055,10000055,AB28,1,10,77,23,036,80,20,0,60,20,0
10000055,10000055,AB29,1,10,77,23,036,80,20,0,60,20,0
10000055,10000055,AB33,1,15,68,24,,100,30,0,10,0,60
10000055,10000055,RHAN100P,1,10,77,21,9,80,20,0,60,20,0
10000093,10000093,001042A,1,10,63,13,011,100,40,0,10,0,50
10000093,10000093,001746A,1,10,71,23,005,90,50,10,20,0,20
10000093,10000093,001877A,1,10,63,13,011,100,40,0,10,0,50
10000093,10000093,001878A,1,10,63,13,011,100,40,0,10,0,50
10000093,10000093,002642A,1,15,48,23,011,90,20,5,5,5,70
10000163,10000824,MCCF-B320,1,95,76,13,006,98,54,2,14,0,30
10000275,10000275,AB2819,1,15,41,22,37,100,70,0,5,0,25
10000275,10000275,AB4819,1,25,46,21,H,95,55,5,10,0,35
10000275,10000275,AB5319,1,15,48,23,098,100,65,0,5,0,25
10000275,10000275,AB5819,1,25,46,21,H,95,55,5,10,0,35
10000275,10000275,AB7719,1,15,48,23,098,100,65,0,5,0,25
10000291,10000291,K00001,1,110,84,14,,89,31,5,6,6,51
10000291,10000291,K00003,2,20,70,12,25,95,0,0,0,5,95
10000291,10000291,K00004,1,15,60,14,,90,20,5,5,5,65
10000291,10000291,K00005,1,20,70,14,,80,5,20,0,0,70
10000291,10000291,K00006,1,15,70,14,,70,5,20,0,15,65
10000291,10000291,K00007,1,10,80,14,,65,25,25,0,10,35
10000291,10000291,K00008,1,20,75,24,,85,5,5,5,10,75
10000291,10000291,K00009,1,60,71,13,096,75,13,20,2,5,60
10000291,10000291,K00010,1,25,75,14,,85,5,10,5,10,75
10000291,10000291,K00011,1,20,75,14,,65,5,15,5,20,55
10000291,10000291,K00012,1,20,85,24,,75,15,20,5,5,55
10000291,10000291,K00014,1,10,85,14,,90,10,10,0,0,85
10000291,10000291,K00015,1,10,85,14,,65,0,25,0,10,65
10000291,10000291,K00016,1,10,90,14,,90,20,10,20,0,55
10000291,10000291,K00018,1,35,90,14,,85,10,5,10,10,65
10000291,10000291,K00019,1,105,81,13,075,80,11,12,12,8,57
10000291,10000291,K00020,1,25,80,14,,80,5,15,5,10,70
10000291,10000291,K00023,1,20,80,24,,85,15,15,5,0,65
10000291,10000291,K00024,1,15,90,14,,75,5,25,10,0,60
10000291,10000291,K00025,1,10,60,24,,60,10,35,10,10,40
10000291,10000291,K00026,1,10,70,14,,90,20,0,10,10,60
10000291,10000291,K00027,1,10,75,14,,100,20,0,10,0,70
10000291,10000291,K00028,1,20,65,14,,80,10,10,0,10,70
10000291,10000291,K00029,1,15,65,14,,95,20,0,0,5,75
10000291,10000291,K00030,1,20,85,24,,75,0,25,5,0,70
10000291,10000291,K00031,1,15,75,24,,80,0,20,0,0,80
10000291,10000291,K00032,1,45,65,13,098,90,15,5,0,5,75
10000291,10000291,K00032,1,105,81,13,075,80,11,12,12,8,57
10000291,10000291,K00033,1,10,70,24,,100,25,0,0,0,75
10000291,10000291,K00034,1,15,90,14,,100,75,0,20,0,5
10000291,10000291,K00035,1,105,92,12,04,95,17,4,7,1,72
10000291,10000291,K00037,1,10,80,24,,75,10,15,0,10,65
