PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,ENTPOP,ENTAGG,ENTSBJ,ACCESS,ALEVEL,BACC,DEGREE,FOUNDTN,NOQUALS,OTHER,OTHERHE
10000047,10001143,PSSFDOPTDIS,1,30,14,,0,25,0,15,0,20,30,10
10000055,10000055,AB12,1,15,24,,0,65,0,0,0,20,5,5
10000055,10000055,AB18,1,10,13,024,0,90,0,0,0,10,0,0
10000055,10000055,AB20,1,20,24,,0,60,0,0,0,35,5,0
10000055,10000055,AB21,1,10,24,,0,100,0,0,0,0,0,0
10000055,10000055,AB26,1,15,24,,0,0,0,0,0,0,0,100
10000055,10000055,AB28,1,15,13,036,0,55,0,0,0,40,0,5
10000055,10000055,AB29,1,15,13,036,0,55,0,0,0,40,0,5
10000055,10000055,AB33,1,25,24,,0,85,0,0,0,5,0,10
10000055,10000055,RHAN100P,1,15,11,9,0,55,0,0,0,40,0,5
10000093,10000093,001042A,1,20,13,011,5,75,0,5,0,10,5,0
10000093,10000093,001043A,1,10,23,058,10,90,0,0,0,0,0,0
10000093,10000093,001043A,1,10,23,105,10,90,0,0,0,0,0,0
10000093,10000093,001746A,1,10,13,005,40,40,0,0,0,0,15,0
10000093,10000093,001877A,1,20,13,011,5,75,0,5,0,10,5,0
10000093,10000093,001878A,1,20,13,011,5,75,0,5,0,10,5,0
10000093,10000093,002640A,1,10,13,018,0,100,0,0,0,0,0,0
10000093,10000093,002641A,1,10,13,097,0,95,5,0,0,0,0,0
10000093,10000093,002642A,1,20,13,011,25,25,0,0,0,0,0,50
10000163,10000824,MCCF-B320,1,105,13,006,3,44,3,9,0,9,23,10
10000275,10000275,AB2819,1,15,23,097,0,60,0,0,0,40,0,0
10000275,10000275,AB4819,1,25,11,H,0,0,0,0,0,100,0,0
10000275,10000275,AB5319,1,10,13,098,0,0,0,0,0,100,0,0
10000275,10000275,AB5819,1,10,13,095,0,0,0,0,0,100,0,0
10000275,10000275,AB5919,1,10,13,068,0,0,0,0,0,100,0,0
10000275,10000275,AB7719,1,10,13,098,0,0,0,0,0,100,0,0
10000275,10000275,HB0419,1,10,11,D,0,0,0,0,0,100,0,0
10000275,10000275,HB0519,1,10,13,018,0,0,0,0,0,100,0,0
10000291,10000291,K00001,1,210,14,,1,75,1,2,0,1,14,6
10000291,10000291,K00003,2,25,12,25,0,50,0,10,0,0,10,30
10000291,10000291,K00004,1,20,14,,0,75,0,5,0,0,20,0
10000291,10000291,K00005,1,40,14,,0,80,0,0,0,0,5,15
10000291,10000291,K00006,1,40,14,,0,95,0,0,0,0,0,5
10000291,10000291,K00007,1,20,14,,0,75,0,0,0,0,20,5
10000291,10000291,K00008,1,25,14,,0,70,0,0,0,0,20,10
10000291,10000291,K00009,1,20,14,,0,95,0,0,0,0,5,0
10000291,10000291,K00010,1,30,14,,0,85,5,0,0,0,10,0
10000291,10000291,K00011,1,30,14,,0,90,0,0,0,0,10,0
10000291,10000291,K00012,1,15,14,,0,80,0,0,0,0,20,0
10000291,10000291,K00014,1,35,14,,0,85,0,5,0,0,10,5
10000291,10000291,K00015,1,35,14,,0,85,0,0,0,5,15,0
10000291,10000291,K00016,1,20,14,,0,85,5,5,0,0,0,5
10000291,10000291,K00018,1,45,14,,0,95,0,0,0,0,0,0
10000291,10000291,K00019,1,15,14,,0,5,0,15,0,0,80,0
10000291,10000291,K00020,1,25,14,,0,85,5,0,0,0,10,5
