PUBUKPRN,UKPRN,COUNTRY,PUBUKPRNCOUNTRY,TEFMARKER,SUURL,SUURLW,Q24,Q24POP,Q24RESP_RATE
10000047,10001143,XF,XF,0,http://ccsu.co.uk/,,,,65
10000055,10000055,XF,XF,1,http://www.nus.org.uk/en/students-unions/abingdon-and-witney-college-students-union/,,38,53,80
10000093,10000093,XF,XF,1,http://www.accrosshighereducation.co.uk/AboutUs.html,,81,48,61
10000163,10000824,XF,XF,1,http://www.subu.org.uk/,,83,45,75
10000256,10007155,XF,XF,1,https://www.upsu.net/,,,,80
10000275,10000275,XF,XF,1,http://www.amersham.ac.uk/students/students-union/,,,,
10000291,10000291,XF,XF,1,http://www.angliastudent.com,,63,2805,75
10000385,10000385,XF,XF,1,http://www.aubsu.co.uk/,,67,760,85
10000409,10000409,XF,XF,1,http://www.asfc.ac.uk/adult-&-university-courses/fees-finance-student-support,,,,
10000415,10000415,XF,XF,1,http://www.askham-bryan.ac.uk/students/student-life,,57,120,85
10000473,10000473,XF,XF,1,http://www.aylesbury.ac.uk/student-life/information-for-new-students/,,,,
10000528,10000528,XF,XF,0,http://www.barkingdagenhamcollege.ac.uk/en/facilities/student-union.cfm,,63,36,58
10000533,10000533,XF,XF,1,http://www.barnetsouthgate.ac.uk/higher-education,,57,27,51
10000534,10000534,XF,XF,0,http://college.barnfield.ac.uk,,,,
10000536,10000536,XF,XF,0,http://universitycampus.barnsley.ac.uk/life-at-ucb/student-union/,,59,82,59
10000560,10000560,XF,XF,1,http://www.bcot.ac.uk/teaching-and-learning/student-union/,,,,
10000571,10000571,XF,XF,1,http://www.bathspasu.co.uk/,,64,945,70
10000610,10000610,XF,XF,1,http://www.bedford.ac.uk,,47,95,74
10000654,10000654,XF,XF,1,http://www.bca.ac.uk/courses/higher-education/,,67,17,71
10000670,10000670,XF,XF,1,http://www.bexhillcollege.ac.uk/,,,,
10000712,10000712,XF,XF,1,http://www.ucbsu.com/UCB-Guild-of-Students/index.php,,71,820,70
10000720,10000720,XF,XF,1,http://www.nus.org.uk/en/students-unions/bishop-auckland-college-students-union/,,66,45,82
10000721,10000721,XF,XF,1,http://www.bishopburton.ac.uk/student-life/working/student-association,,61,171,86
10000747,10000747,XF,XF,1,http://su.blackburn.ac.uk/,,68,378,62
10000754,10000754,XF,XF,1,http://www.blackpool.ac.uk/bsu,,67,524,69
10000794,10000794,XF,XF,1,http://www.boltoncollege.ac.uk/content/student-union,,71,33,94
10000812,10000812,XF,XF,1,http://www.boston.ac.uk/students/Pages/index.aspx,,69,31,74
10000820,10000820,XF,XF,0,http://www.bpcsu.com/bpche-su/,,60,65,65
10000824,10000824,XF,XF,1,http://www.subu.org.uk/,,78,1825,75
10000825,10000825,XF,XF,1,http://www.nus.org.uk/en/students-unions/,,30,12,75
10000833,10007802,XF,XF,1,http://www.rusu.co.uk/,,67,10,75
10000840,10000840,XF,XF,1,https://www.bradfordcollege.ac.uk/student-services/students-union,,62,516,74
10000878,10000878,XF,XF,1,http://www.bridgwater.ac.uk/college-information.php?category=84&amp;page=85,,60,176,86
10000886,10000886,XF,XF,1,http://www.brightonsu.com/,,59,2740,80
10000911,10007801,XF,XF,0,http://www.upsu.com/,,88,15,70
10000936,10000936,XF,XF,1,http://www.bso.ac.uk/train-to-be-an-osteopath/student-life/life-as-a-student/,,,,
10000944,10000944,XF,XF,1,http://www.brock.ac.uk/sixth-form/social,,,,
10000948,10000948,XF,XF,1,http://www.bromley.ac.uk/learner-info,,62,88,56
10000950,10000950,XF,XF,1,http://www.brooklands.ac.uk/facilities/student-union,,45,14,58
10000952,10000952,XF,XF,1,http://he.brooksbymelton.ac.uk/student-experience/student-union/,,78,18,78
10000961,10000961,XF,XF,1,http://www.brunelstudents.com,,74,1590,70
10000975,10000975,XF,XF,1,http://www.bucksstudentsunion.org/,,84,1265,75
10001000,10001000,XF,XF,1,http://www.uclansu.co.uk/,,61,69,65
10001004,10001004,XF,XF,1,http://www.staffsunion.com,,42,39,76
10001005,10001005,XF,XF,1,http://www.burycollege.ac.uk,,71,11,85
10001093,10001093,XF,XF,1,http://www.calderdale.ac.uk/content/view/study-at-calderdale/students-union,,55,31,72
10001143,10001143,XF,XF,1,http://ccsu.co.uk/,,62,1925,65
