PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,JOBPOP,JOBRESP_RATE,JOBAGG,JOBSBJ,PROFMAN,OTHERJOB,UNKWN
10000047,10001143,PSSFDOPTDIS,1,20,65,23,008,95,5,0
10000055,10000055,AB26,1,10,71,23,061,65,35,0
10000055,10000055,AB33,1,10,68,24,,60,40,0
10000093,10000093,001042A,1,10,62,21,2,30,50,20
10000093,10000093,001746A,1,10,62,21,2,30,50,20
10000093,10000093,001877A,1,10,62,21,2,30,50,20
10000093,10000093,001878A,1,10,62,21,2,30,50,20
10000163,10000824,MCCF-B320,1,30,75,13,006,100,0,0
10000275,10000275,AB2819,1,10,83,21,H,80,20,0
10000275,10000275,AB4819,1,10,83,21,H,80,20,0
10000275,10000275,AB5319,1,10,83,21,H,80,20,0
10000275,10000275,AB5819,1,10,83,21,H,80,20,0
10000275,10000275,AB7719,1,10,83,21,H,80,20,0
10000291,10000291,K00001,1,60,84,14,,43,55,2
10000291,10000291,K00003,2,15,70,12,25,70,30,0
10000291,10000291,K00004,1,10,60,14,,25,75,0
10000291,10000291,K00005,1,15,70,14,,70,30,0
10000291,10000291,K00006,1,10,70,14,,50,50,0
10000291,10000291,K00007,1,15,75,24,,50,50,0
10000291,10000291,K00008,1,15,75,24,,75,25,0
10000291,10000291,K00009,1,35,70,13,096,60,40,0
10000291,10000291,K00010,1,20,75,14,,40,60,0
10000291,10000291,K00011,1,10,75,14,,35,65,0
10000291,10000291,K00012,1,10,85,24,,65,35,0
10000291,10000291,K00014,1,20,70,24,,35,65,0
10000291,10000291,K00015,1,15,70,24,,20,80,0
10000291,10000291,K00016,1,10,85,24,,40,60,0
10000291,10000291,K00018,1,25,90,14,,25,75,0
10000291,10000291,K00019,1,60,81,13,075,26,74,0
10000291,10000291,K00020,1,15,80,14,,35,65,0
10000291,10000291,K00023,1,10,80,24,,50,50,0
10000291,10000291,K00024,1,10,90,14,,10,90,0
10000291,10000291,K00025,1,60,81,13,075,26,74,0
10000291,10000291,K00026,1,15,80,24,,40,60,0
10000291,10000291,K00027,1,20,85,24,,55,45,0
