PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,SBJ
10000047,10001143,PSSFDOPTDIS,1,008
10000055,10000055,AB12,1,035
10000055,10000055,AB18,1,024
10000055,10000055,AB20,1,021
10000055,10000055,AB21,1,061
10000055,10000055,AB26,1,061
10000055,10000055,AB27,1,021
10000055,10000055,AB28,1,036
10000055,10000055,AB29,1,036
10000055,10000055,AB33,1,105
10000055,10000055,PHWN100P,1,102
10000055,10000055,RHAN100P,1,040
10000055,10000055,SHAM100P,1,018
10000093,10000093,001042A,1,011
10000093,10000093,001043A,1,058
10000093,10000093,001043A,1,105
10000093,10000093,001746A,1,005
10000093,10000093,001877A,1,011
10000093,10000093,001878A,1,011
10000093,10000093,002640A,1,018
10000093,10000093,002641A,1,097
10000093,10000093,002642A,1,011
10000163,10000824,MCCF-B320,1,006
10000256,10007155,C2200P,2,036
10000275,10000275,AB2819,1,097
10000275,10000275,AB4819,1,100
10000275,10000275,AB4919,1,069
10000275,10000275,AB5219,1,035
10000275,10000275,AB5319,1,098
10000275,10000275,AB5819,1,095
10000275,10000275,AB5919,1,068
10000275,10000275,AB7719,1,098
10000275,10000275,H70211,2,061
10000275,10000275,HB0419,1,063
10000275,10000275,HB0519,1,018
10000275,10000275,HB6019,1,058
10000291,10000291,K00001,1,060
10000291,10000291,K00003,2,062
10000291,10000291,K00004,1,102
10000291,10000291,K00005,1,096
10000291,10000291,K00006,1,096
10000291,10000291,K00007,1,096
10000291,10000291,K00008,1,096
10000291,10000291,K00009,1,096
10000291,10000291,K00010,1,069
10000291,10000291,K00011,1,100
10000291,10000291,K00012,1,096
10000291,10000291,K00014,1,069
10000291,10000291,K00015,1,072
10000291,10000291,K00016,1,072
10000291,10000291,K00018,1,075
10000291,10000291,K00019,1,075
10000291,10000291,K00020,1,075
10000291,10000291,K00023,1,069
10000291,10000291,K00023,1,101
10000291,10000291,K00024,1,075
10000291,10000291,K00025,1,075
10000291,10000291,K00026,1,097
10000291,10000291,K00027,1,097
10000291,10000291,K00028,1,098
10000291,10000291,K00029,1,098
10000291,10000291,K00030,1,097
10000291,10000291,K00031,1,069
10000291,10000291,K00031,1,098
10000291,10000291,K00032,1,075
10000291,10000291,K00032,1,098
10000291,10000291,K00033,1,040
10000291,10000291,K00034,1,054
10000291,10000291,K00035,1,006
10000291,10000291,K00037,1,091
10000291,10000291,K00039,1,054
10000291,10000291,K00040,1,054
10000291,10000291,K00041,1,054
10000291,10000291,K00042,1,054
10000291,10000291,K00044,1,075
10000291,10000291,K00045,1,090
10000291,10000291,K00048,1,093
10000291,10000291,K00050,1,075
10000291,10000291,K00050,1,093
10000291,10000291,K00052,1,064
10000291,10000291,K00054,1,061
10000291,10000291,K00055,1,061
10000291,10000291,K00056,1,052
10000291,10000291,K00058,2,065
10000291,10000291,K00065,1,066
10000291,10000291,K00066,1,062
10000291,10000291,K00070,1,035
10000291,10000291,K00075,1,103
10000291,10000291,K00076,1,103
10000291,10000291,K00079,1,035
10000291,10000291,K00080,1,065
10000291,10000291,K00082,1,005
10000291,10000291,K00083,1,061
10000291,10000291,K00085,1,061
10000291,10000291,K00086,1,010
10000291,10000291,K00087,1,056
10000291,10000291,K00090,2,058
10000291,10000291,K00091,1,058
10000291,10000291,K00092,1,035
10000291,10000291,K00093,2,061
10000291,10000291,K00095,1,065
10000291,10000291,K00096,1,061
10000291,10000291,K00098,1,062
10000291,10000291,K00099,1,035
10000291,10000291,K00100,1,041
10000291,10000291,K00101,1,040
10000291,10000291,K00102,1,037
10000291,10000291,K00103,1,047
10000291,10000291,K00104,1,046
10000291,10000291,K00105,1,065
10000291,10000291,K00106,1,048
10000291,10000291,K00107,1,064
10000291,10000291,K00108,1,005
10000291,10000291,K00109,1,005
10000291,10000291,K00110,1,099
10000291,10000291,K00111,1,058
10000291,10000291,K00114,1,052
10000291,10000291,K00115,1,035
10000291,10000291,K00116,1,061
10000291,10000291,K00117,1,065
10000291,10000291,K00118,1,063
10000291,10000291,K00119,1,005
10000291,10000291,K00120,1,041
10000291,10000291,K00121,1,035
10000291,10000291,K00122,1,035
10000291,10000291,K00123,1,035
10000291,10000291,K00125,1,055
10000291,10000291,K00126,1,058
