PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,TARPOP,TARAGG,TARSBJ,T001,T048,T064,T080,T096,T112,T128,T144,T160,T176,T192,T208,T224,T240
10000047,10001143,PSSFDOPTDIS,1,10,23,008,30,10,0,10,20,30,0,0,0,0,0,0,0,0
10000055,10000055,AB12,1,10,23,035,15,10,15,0,10,10,10,10,15,0,0,0,0,10
10000055,10000055,AB18,1,15,23,024,25,0,15,20,20,20,0,0,15,0,0,0,0,20
10000055,10000055,AB20,1,15,23,021,20,25,5,5,5,5,0,10,10,0,0,0,0,0
10000055,10000055,AB21,1,10,23,061,10,10,0,30,20,20,0,10,0,0,0,0,0,20
10000163,10000824,MCCF-B320,1,30,13,006,0,0,0,5,15,30,15,5,5,5,0,15,0,0
10000291,10000291,K00001,1,120,14,,6,11,18,17,18,12,7,7,3,1,0,0,0,0
10000291,10000291,K00004,1,15,14,,0,0,0,15,15,25,15,15,0,0,0,0,5,15
10000291,10000291,K00005,1,30,14,,5,0,5,10,20,20,20,15,0,0,0,5,0,0
10000291,10000291,K00006,1,30,14,,0,5,5,20,15,5,10,5,0,10,5,5,5,10
10000291,10000291,K00007,1,15,14,,0,25,25,25,10,0,0,10,15,0,0,0,0,0
10000291,10000291,K00008,1,15,14,,15,15,15,20,0,0,5,20,5,0,0,5,0,0
10000291,10000291,K00009,1,15,14,,0,0,5,15,20,30,15,5,5,0,0,0,0,0
10000291,10000291,K00010,1,20,14,,5,0,0,25,25,15,20,5,10,0,0,0,0,0
10000291,10000291,K00011,1,25,14,,10,10,15,15,10,30,0,0,10,0,0,0,0,0
10000291,10000291,K00012,1,20,24,,0,0,10,5,0,30,20,20,10,0,0,0,0,0
10000291,10000291,K00014,1,25,14,,0,10,15,15,30,15,15,5,0,0,0,0,0,0
10000291,10000291,K00015,1,20,14,,0,15,15,25,15,25,0,0,10,0,0,0,0,0
10000291,10000291,K00016,1,15,14,,5,30,15,15,5,20,5,0,0,0,0,0,0,0
10000291,10000291,K00018,1,35,14,,5,10,30,20,20,10,10,0,0,0,0,0,0,0
10000291,10000291,K00019,1,85,13,075,2,5,24,22,15,14,10,6,1,0,1,0,0,0
10000291,10000291,K00020,1,15,14,,0,5,20,40,5,20,0,5,0,0,0,0,0,0
10000291,10000291,K00023,1,20,24,,0,0,15,25,30,20,5,0,5,5,0,0,0,0
10000291,10000291,K00024,1,15,14,,0,0,30,5,25,5,15,20,0,0,0,0,0,0
10000291,10000291,K00025,1,10,14,,0,0,15,35,10,15,15,10,0,0,0,0,0,0
