PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,LOCID,UCASCOURSEID
10000047,10001143,PSSFDOPTDIS,1,A1,7302
10000055,10000055,PHWN100P,1,WI,1179
10000055,10000055,RHAN100P,1,AB,9527
10000055,10000055,SHAM100P,1,AB,3766
10000093,10000093,001042A,1,H5,5059
10000093,10000093,001043A,1,H5,3525
10000093,10000093,001746A,1,H5,6319
10000093,10000093,001877A,1,H5,6332
10000093,10000093,001878A,1,H5,5977
10000093,10000093,002640A,1,H5,0566
10000093,10000093,002641A,1,H5,9564
10000093,10000093,002642A,1,H5,9676
10000163,10000824,MCCF-B320,1,AE,8769
10000275,10000275,AB2819,1,AM,6483
10000275,10000275,AB4819,1,AM,6590
10000275,10000275,AB4919,1,AM,6572
10000275,10000275,AB5219,1,AM,4010
10000275,10000275,AB5319,1,AM,8722
10000275,10000275,AB5819,1,AM,6163
10000275,10000275,AB5919,1,AM,3326
10000275,10000275,AB7719,1,AM,8698
10000275,10000275,HB0419,1,AM,3074
10000275,10000275,HB0519,1,HW,8612
10000275,10000275,HB6019,1,HW,8036
10000291,10000291,K00001,1,AA,2101
10000291,10000291,K00001,1,CC,7070
10000291,10000291,K00004,1,CC,0194
10000291,10000291,K00005,1,CC,1792
10000291,10000291,K00006,1,CC,7051
10000291,10000291,K00007,1,CC,6190
10000291,10000291,K00008,1,CC,2450
10000291,10000291,K00009,1,CC,8334
10000291,10000291,K00010,1,CC,0495
10000291,10000291,K00011,1,CC,8606
10000291,10000291,K00012,1,CC,7650
10000291,10000291,K00014,1,CC,0039
10000291,10000291,K00015,1,CC,0815
10000291,10000291,K00016,1,CC,5676
10000291,10000291,K00018,1,CC,6859
10000291,10000291,K00019,1,CC,0147
10000291,10000291,K00020,1,CC,0416
10000291,10000291,K00023,1,CC,2808
10000291,10000291,K00024,1,CC,6707
10000291,10000291,K00025,1,CC,4746
10000291,10000291,K00026,1,CC,8037
10000291,10000291,K00027,1,CC,6155
10000291,10000291,K00028,1,CC,6086
10000291,10000291,K00029,1,CC,6964
10000291,10000291,K00030,1,CC,7880
10000291,10000291,K00031,1,CC,1015
10000291,10000291,K00032,1,CC,8669
10000291,10000291,K00033,1,CC,4249
10000291,10000291,K00034,1,CC,1125
10000291,10000291,K00035,1,SS,2020
10000291,10000291,K00040,1,CC,6237
10000291,10000291,K00041,1,CC,1104
10000291,10000291,K00042,1,CC,1305
10000291,10000291,K00045,1,CC,7365
10000291,10000291,K00048,1,CC,2080
10000291,10000291,K00050,1,CC,0220
10000291,10000291,K00056,1,CC,9971
10000291,10000291,K00065,1,AA,2273
10000291,10000291,K00066,1,CC,7485
10000291,10000291,K00070,1,AA,6747
10000291,10000291,K00075,1,AA,5420
10000291,10000291,K00075,1,CC,6842
10000291,10000291,K00076,1,AA,3745
10000291,10000291,K00080,1,AA,9726
10000291,10000291,K00082,1,55,2512
10000291,10000291,K00082,1,AA,9222
10000291,10000291,K00082,1,CC,5307
10000291,10000291,K00086,1,AA,1276
10000291,10000291,K00087,1,AA,6809
10000291,10000291,K00091,1,AA,1288
10000291,10000291,K00092,1,AA,3206
10000291,10000291,K00095,1,AA,7765
10000291,10000291,K00098,1,CC,8176
10000291,10000291,K00099,1,AA,1325
10000291,10000291,K00100,1,AA,0498
10000291,10000291,K00102,1,AA,6519
10000291,10000291,K00103,1,AA,2520
10000291,10000291,K00104,1,CC,8062
10000291,10000291,K00105,1,AA,1106
10000291,10000291,K00106,1,AA,3008
10000291,10000291,K00107,1,CC,7128
10000291,10000291,K00108,1,AA,9644
10000291,10000291,K00108,1,CC,9505
10000291,10000291,K00109,1,AA,2376
10000291,10000291,K00109,1,CC,5001
10000291,10000291,K00110,1,UU,8394
10000291,10000291,K00111,1,AA,0992
10000291,10000291,K00114,1,CC,2633
10000291,10000291,K00115,1,AA,3204
10000291,10000291,K00116,1,CC,0545
10000291,10000291,K00117,1,AA,0876
10000291,10000291,K00118,1,AA,1128
10000291,10000291,K00119,1,AA,5882
10000291,10000291,K00119,1,CC,9135
10000291,10000291,K00120,1,AA,1531
10000291,10000291,K00121,1,CC,3223
10000291,10000291,K00123,1,CC,8016
10000291,10000291,K00125,1,CC,4588
10000291,10000291,K00126,1,AA,1422
10000291,10000291,K00126,1,CC,8581
10000291,10000291,K00127,1,AA,0424
10000291,10000291,K00128,1,CC,7891
10000291,10000291,K00129,1,AA,0897
10000291,10000291,K00130,1,AA,7147
10000291,10000291,K00131,1,AA,4699
10000291,10000291,K00132,1,CC,2114
10000291,10000291,K00133,1,CC,3931
